name,description,icon_color,long,lat,pic_url,thumb_url
Basantapur temple ,"
         <div>
           <a href=""http://asign.cern.ch/display/file/c10da3ebde381955a59768eb72b6beb7/preview97865.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/c10da3ebde381955a59768eb72b6beb7/preview97865.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/a60f7f4ae05778d4ed9e4a5812d89d2d"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Basantapur temple 
           <br/>
           <br/>
           From: keshab@keshab.com
           <br/>
           Date: 27°42?13?N 85°18?25?E
           <br/>
           Location: 2015-05-07 10:13:04
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18352"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.30708264,27.7036978,http://asign.cern.ch/display/file/c10da3ebde381955a59768eb72b6beb7/preview97865.jpg,http://asign.cern.ch/display/file/c10da3ebde381955a59768eb72b6beb7/preview97865.jpg
Uploaded with ASIGN from AnsuR,"
         <div>
           <a href=""http://asign.cern.ch/display/file/90186358d6dcb7eae5c0cebcd706752e/preview.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/90186358d6dcb7eae5c0cebcd706752e/preview.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/c30307f3a26a9232c2366c07787754eb"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Uploaded with ASIGN from AnsuR
           <br/>
           <br/>
           From: nishajyoti@hotmail.com
           <br/>
           Date: 27°58?25?N 84°38?22?E
           <br/>
           Location: 2015-05-06 12:24:39
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18322"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,84.63946977,27.97361458,http://asign.cern.ch/display/file/90186358d6dcb7eae5c0cebcd706752e/preview.jpg,http://asign.cern.ch/display/file/90186358d6dcb7eae5c0cebcd706752e/preview.jpg
Uploaded with ASIGN from AnsuR,"
         <div>
           <a href=""http://asign.cern.ch/display/file/5fd43a62ae10f96edc1e057ec450824b/preview.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/5fd43a62ae10f96edc1e057ec450824b/preview.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/c6057f3c70c935b5da981515ec9f6ba6"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Uploaded with ASIGN from AnsuR
           <br/>
           <br/>
           From: nishajyoti@hotmail.com
           <br/>
           Date: 27°58?13?N 84°35?34?E
           <br/>
           Location: 2015-05-06 10:43:01
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18317"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,84.59279173,27.97052637,http://asign.cern.ch/display/file/5fd43a62ae10f96edc1e057ec450824b/preview.jpg,http://asign.cern.ch/display/file/5fd43a62ae10f96edc1e057ec450824b/preview.jpg
Uploaded with ASIGN from AnsuR,"
         <div>
           <a href=""http://asign.cern.ch/display/file/f2a3805c4f40e827ea4cbbb87da39406/preview.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/f2a3805c4f40e827ea4cbbb87da39406/preview.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/d01f6e6869ce2618d3155dd8e7b644f8"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Uploaded with ASIGN from AnsuR
           <br/>
           <br/>
           From: nishajyoti@hotmail.com
           <br/>
           Date: 27°40?28?N 85°19?31?E
           <br/>
           Location: 2015-05-05 18:32:47
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18303"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.32553045,27.67462885,http://asign.cern.ch/display/file/f2a3805c4f40e827ea4cbbb87da39406/preview.jpg,http://asign.cern.ch/display/file/f2a3805c4f40e827ea4cbbb87da39406/preview.jpg
Uploaded with ASIGN from AnsuR,"
         <div>
           <a href=""http://asign.cern.ch/display/file/2f86560b32c3dc23be7458d5073a6832/preview.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/2f86560b32c3dc23be7458d5073a6832/preview.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/6216a77514e4a17fed12d0ebc18b14ce"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Uploaded with ASIGN from AnsuR
           <br/>
           <br/>
           From: nishajyoti@hotmail.com
           <br/>
           Date: 27°58?19?N 84°38?20?E
           <br/>
           Location: 2015-05-06 12:31:41
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18289"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,84.63894898,27.97200919,http://asign.cern.ch/display/file/2f86560b32c3dc23be7458d5073a6832/preview.jpg,http://asign.cern.ch/display/file/2f86560b32c3dc23be7458d5073a6832/preview.jpg
Old baneshwor 7 floors house ,"
         <div>
           <a href=""http://asign.cern.ch/display/file/f98fb45b6291d7d1a4beec865f61d380/preview37528.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/f98fb45b6291d7d1a4beec865f61d380/preview37528.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/99e59536012e1396b9aebf36e044ad33"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Old baneshwor 7 floors house 
           <br/>
           <br/>
           From: keshab@keshab.com
           <br/>
           Date: 27°42?2?N 85°20?24?E
           <br/>
           Location: 2015-05-06 07:05:19
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18280"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.34014296,27.70069863,http://asign.cern.ch/display/file/f98fb45b6291d7d1a4beec865f61d380/preview37528.jpg,http://asign.cern.ch/display/file/f98fb45b6291d7d1a4beec865f61d380/preview37528.jpg
Dillibazar pipalbot chowk house ,"
         <div>
           <a href=""http://asign.cern.ch/display/file/3a70958d5e19faa9f887300dcb63a81e/preview37421.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/3a70958d5e19faa9f887300dcb63a81e/preview37421.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/45850bcef5f418b24e52565543bbc758"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Dillibazar pipalbot chowk house 
           <br/>
           <br/>
           From: keshab@keshab.com
           <br/>
           Date: 27°42?17?N 85°19?46?E
           <br/>
           Location: 2015-05-06 07:15:33
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18278"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.32953348,27.70494578,http://asign.cern.ch/display/file/3a70958d5e19faa9f887300dcb63a81e/preview37421.jpg,http://asign.cern.ch/display/file/3a70958d5e19faa9f887300dcb63a81e/preview37421.jpg
Opposite of bhakatapur Darbar house ,"
         <div>
           <a href=""http://asign.cern.ch/display/file/2fa1ea68bc3c609a5224332b3535ba52/preview48645_rotated_90_degrees_cw.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/2fa1ea68bc3c609a5224332b3535ba52/preview48645_rotated_90_degrees_cw.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/01d4c5cc132b5b5c79194625d3beb012"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Opposite of bhakatapur Darbar house 
           <br/>
           <br/>
           From: keshab@keshab.com
           <br/>
           Date: 27°40?18?N 85°25?41?E
           <br/>
           Location: 2015-05-05 07:58:50
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18239"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.42826878,27.67172507,http://asign.cern.ch/display/file/2fa1ea68bc3c609a5224332b3535ba52/preview48645_rotated_90_degrees_cw.jpg,http://asign.cern.ch/display/file/2fa1ea68bc3c609a5224332b3535ba52/preview48645_rotated_90_degrees_cw.jpg
Bhakatur bazar house ,"
         <div>
           <a href=""http://asign.cern.ch/display/file/2153bd56383797a452b16d3a3e8f1dca/preview3556_rotated_90_degrees_cw.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/2153bd56383797a452b16d3a3e8f1dca/preview3556_rotated_90_degrees_cw.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/a6510c9fdacf999e0aa7e88793993596"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Bhakatur bazar house 
           <br/>
           <br/>
           From: keshab@keshab.com
           <br/>
           Date: 27°40?16?N 85°25?44?E
           <br/>
           Location: 2015-05-05 07:53:21
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18241"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.42907646,27.67111253,http://asign.cern.ch/display/file/2153bd56383797a452b16d3a3e8f1dca/preview3556_rotated_90_degrees_cw.jpg,http://asign.cern.ch/display/file/2153bd56383797a452b16d3a3e8f1dca/preview3556_rotated_90_degrees_cw.jpg
Bhakarapur tample ,"
         <div>
           <a href=""http://asign.cern.ch/display/file/7aefb59d245b20ec3661aa9109782b52/preview18342.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/7aefb59d245b20ec3661aa9109782b52/preview18342.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/2d3ae1e0051a9c66880e62ed3d346b2f"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Bhakarapur tample 
           <br/>
           <br/>
           From: keshab@keshab.com
           <br/>
           Date: 27°40?19?N 85°25?44?E
           <br/>
           Location: 2015-05-05 07:50:12
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18242"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.429055,27.67217682,http://asign.cern.ch/display/file/7aefb59d245b20ec3661aa9109782b52/preview18342.jpg,http://asign.cern.ch/display/file/7aefb59d245b20ec3661aa9109782b52/preview18342.jpg
